timestamp,symbol,action,decision,best_side,best_confidence,buy_confidence,sell_confidence,buy_score,sell_score,buy_base_score,sell_base_score,buy_smc_score,sell_smc_score,buy_participation_score,sell_participation_score,buy_hard_ok,sell_hard_ok,buy_level_ok,sell_level_ok,buy_level,sell_level,buy_level_source,sell_level_source,buy_smc_sweep,sell_smc_sweep,buy_smc_order_block,sell_smc_order_block,buy_smc_fvg_support,sell_smc_fvg_support,buy_smc_fvg_block,sell_smc_fvg_block,btc_trend,btc_corr,relative_strength,entry_close,trend_close,confirm_close,futures_context_available,oi_change_pct,taker_buy_sell_ratio,global_long_short_ratio,top_long_short_ratio,funding_rate,skip_reason
2026-06-21T11:02:04,FARTCOINUSDT,NO_SIGNAL,NONE,SELL,67.65,66.35,67.65,22.56,23.0,21,21,1.56,2.0,0,0,False,False,True,False,0.1182,,4h_pivot,,,1h,4h_ob,,4h_bullish_fvg,,,,BEARISH,0.59,5.77,0.1254,0.1236,0.1256,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:02:05,KMNOUSDT,NO_SIGNAL,NONE,BUY,72.06,72.06,47.06,24.5,16,24,16,0.5,0,0,0,False,False,True,True,0.01822,0.02132,1d_pivot,1d_pivot,,,1d_ob,,,,1d_bearish_fvg,,BEARISH,0.61,10.61,0.0194,0.01879,0.01932,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:02:07,CGPTUSDT,NO_SIGNAL,NONE,SELL,95.82,35.71,95.82,12.14,32.58,12,30,0.14,2.58,0,0,False,False,True,True,0.0188,0.02172,1d_pivot,1d_pivot,,,1d_ob,4h_ob,,1d_bearish_fvg,1d_bearish_fvg,,BEARISH,0.33,-5.91,0.01995,0.02008,0.02009,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:02:08,HIVEUSDT,NO_SIGNAL,NONE,SELL,98.56,45.59,98.56,15.5,33.51,15,31,0.5,2.51,0,0,False,False,True,True,0.0472,0.05092,4h_pivot,4h_pivot,,,4h_ob,4h_ob,,1d_bearish_fvg,1d_bearish_fvg,,BEARISH,0.48,-3.96,0.04924,0.04935,0.04944,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:02:09,DEXEUSDT,NO_SIGNAL,NONE,SELL,69.85,51.47,69.85,17.5,23.75,17,25,0.5,-1.25,0,0,False,False,False,True,,14.8,,1d_pivot,1h,,,,,,1d_bearish_fvg,,BEARISH,0.08,-26.42,14.74,15.49,14.91,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:02:11,PHAUSDT,NO_SIGNAL,NONE,BUY,86.0,86.0,42.65,29.240000000000002,14.5,27,16,2.24,-1.5,0,0,False,False,True,True,0.03575,0.03915,1d_pivot,1d_pivot,,,4h_ob,,4h_bullish_fvg,,,4h_bullish_fvg,BEARISH,0.33,12.8,0.03778,0.03733,0.03752,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:02:12,GRIFFAINUSDT,NO_SIGNAL,NONE,BUY,75.0,75.0,66.53,25.5,22.62,24,20,1.5,2.62,0,0,False,False,True,True,0.00841,0.009808,1d_pivot,1d_pivot,,,4h_ob,4h_ob,4h_bullish_fvg,4h_bearish_fvg,4h_bearish_fvg,,BEARISH,0.34,6.96,0.009143,0.009163,0.009007,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:02:14,ZEREBROUSDT,NO_SIGNAL,NONE,BUY,73.53,73.53,26.47,25,9,25,9,0,0,0,0,False,False,False,False,,,,,,,,,,,,,BEARISH,0.15,63.07,0.043464,0.04484,0.044261,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:02:16,BIOUSDT,SIGNAL,SELL,SELL,95.15,41.74,95.15,14.19,32.35,13,30,1.19,2.35,0,0,False,True,True,True,0.03071,0.03454,4h_pivot,1d_pivot,,,4h_ob,4h_ob,4h_bullish_fvg,4h_bearish_fvg,4h_bearish_fvg,,BEARISH,0.15,4.94,0.032,0.03279,0.03233,False,,,,,,
2026-06-21T11:02:17,COOKIEUSDT,NO_SIGNAL,NONE,SELL,77.0,62.56,77.0,21.27,26.18,20,25,1.27,1.18,0,0,False,False,True,True,0.00861,0.00956,1d_pivot,4h_pivot,,,4h_ob,4h_ob,4h_bullish_fvg,4h_bearish_fvg,4h_bearish_fvg,4h_bullish_fvg,BEARISH,0.51,-1.46,0.00933,0.00922,0.00929,False,,,,,,NO_FINAL_SIGNAL
